Copernican ideology.,কোপারনিকান মূলনীতি
"At some point of space and time, some reaction in this substance takes place that is not yet properly known to men.",স্থান-কালের কোন একটি বিন্দুতে এই পদার্থের মধ্যে একটি বিক্রিয়া ঘটে যার স্বরুপ এখন পর্যন্ত মানুষের পক্ষে জানা সম্ভব হয়নি।
"As the quantity of quark increases slightly than anti-quark, quantity of baryon increases slightly than anti-baryon too.",কোয়ার্কের পরিমাণ প্রতি-কোয়ার্কের চেয়ে সামান্য বেড়ে যাওয়ার কারণে বেরিয়নের পরিমাণও প্রতি-বেরিয়নের চেয়ে সামান্য বেড়ে যায়।
Two types of forces were concentrated in these particles; the stationary potential energy and the radiation energy,এই কণাসমূহের মাঝে দুই ধরণের শক্তি ঘনত্ব ছিল: নিশ্চল ভর শক্তি ঘনত্ব এবং বিকিরণ শক্তি ঘনত্ব।
this is based on the type and amount of substances of that region,এর মূল বিষয়গুলো নির্ভর করে মহাবিশ্বের ওই অঞ্চলের পদার্থের ধরণ এবং পরিমাণের উপর।
"Therefore, greater the distance, greater is the increase of velocity.",অর্থাৎ দূরত্ব যত বাড়ে বেগ বৃদ্ধির পরিমাণও ততই বেড়ে যায়।
"It has been said that at this point, the density was infinite.",বলা হয়েছে এই বিন্দুতে ঘনত্ব অসীম ছিল।
The lines of this graph expand in the same rate and in the same direction as the way this universe is expanding.,এই ছকের রেখাগুলো মহাবিশ্বের সম্প্রসারণের সাথে সাথে একটি হারে এবং একই নির্দেশনায় সম্প্রসারিত হয়।
Let this conformal time.,ধরি এই কনফরমাল সময়টি ।
Observational Evidence,পর্যবেক্ষণিক প্রমাণ
This observation was made long before Hubble presented his theory.,এই পর্যবেক্ষণটি হাবলে তার নীতি উপস্থাপনের অনেক আগেই করা হয়েছিলো।
"That means, early universe was opaque to light.",অর্থাৎ আদি মহাবিশ্ব আলোর প্রতি অনচ্ছ ছিল।
That time they were conducting diagnostic observations using a new microwave receiver owned by Bell Laboratories.,তারা এ সময় বেল ল্যাবরেটরিসের মালিকানাধীন একটি ক্ষুদ্রতরঙ্গ গ্রাহক যন্ত্র দিয়ে বিভিন্ন পর্যবেক্ষণের মান নিরুপণ করছিলেন।
Abundance of primeval elements,প্রাথমিক মৌলসমূহের প্রাচুর্য
This discovery is quiet stable for 7Li and 4He; because for this two element it is very unstable to say about it.,এই অনুসিদ্ধান্তটি ৭Li এবং ৪He -এর জন্য অনেকটা শীথিল; কারণ এই দুটি মৌলের পদ্ধতিগত অনিশ্চয়তা সম্বন্ধে নির্দিষ্ট করে কিছু বলা যায়না।
